address,kept_as,retrieved_on,content_type,bytes,sha256
https://www.legislation.gov.uk/asp/2016/18/introduction,legislation/legislation-asp-2016-18-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,41911,2eb36846955689f05eff6883f2afbaede121219c6ec792e9a65c4c981375c413
https://www.legislation.gov.uk/asp/2019/7/introduction,legislation/legislation-asp-2019-7-introduction_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,31063,6dde2fad35efe4a2ec59d9091a2f062ec9186dcb31ab1ed7b953ec3743c2548c
https://www.legislation.gov.uk/asp/2021/1/contents,legislation/legislation-asp-2021-1-contents_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,29179,f1499544402e9bbb1f7fa7bed6806fb959f48a3e5d56ebcb8ba4da67bc51d163
https://www.legislation.gov.uk/asp/2021/1/enacted,legislation/legislation-asp-2021-1-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,65214,210ebd2f9a7676dfed0c29cf149805f97487f677c081544a5923f658e6beccee
https://www.legislation.gov.uk/asp/2021/20/introduction/enacted,legislation/legislation-asp-2021-20-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26335,861e4f45b4a561c295d26ef8fc04bab7b7f6d20c0f0d53809b5305703e8707c8
https://www.legislation.gov.uk/asp/2021/9/enacted,legislation/legislation-asp-2021-9-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,360173,cf77fc69c4a07f05a68fbb75babfda686c494a79ed1feae697e698694d23f655
https://www.legislation.gov.uk/asp/2022/1/enacted,legislation/legislation-asp-2022-1-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,35845,33a1adc475a6e398f6aec098ac5034e87f7582da1782abb2a7b092f92aceb764
https://www.legislation.gov.uk/asp/2022/2/contents/enacted,legislation/legislation-asp-2022-2-contents-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,25410,c7459030de2ff4467f691ec4ce29bec28c1f2c5f0cf5d89e3ad87eaa87e950cc
https://www.legislation.gov.uk/asp/2026/1/introduction/enacted,legislation/legislation-asp-2026-1-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26475,81af32a9a771d45dd5f95c0c0e0466eb92ba6a8a4c8e5bd57cdb9cdecf0ee5c1
https://www.legislation.gov.uk/asp/2026/13/introduction/enacted,legislation/legislation-asp-2026-13-introduction-enacted_retrieved-2026-09-18.html,2026-09-18,text/html;charset=utf-8,26992,98b0d72d27f78cca17c5547890e6cfc474851451f4005bd9ee75b80e37a19e3d
